Category.Field.ID	Description	Participants	Total.item.count..includes.1.or.more.visits.	V2	V6	V7	link	new_col_name	value_to_detect	date_col
28743	Difficulty with being emotionally affected by health problems	195605	195605	p28743_Difficulty_with_being_emotionally_affected_by_health_problems_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=181	p28743_Difficulty_with_being_emotionally_affected_by_health_problems	1	p28755_When_Health_and_Well-being_Questionnaire_completed
29000	Mental health conditions ever diagnosed by a professional	175236	539739	p29000_Mental_health_conditions_ever_diagnosed_by_a_professional_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=182	p29000_Mental_health_conditions_ever_diagnosed_by_a_professional	1	p29197_When_online_Mental_health_questionnaire_completed
29001	Mental health conditions experienced by first degree blood relatives	175236	203002	p29001_Mental_health_conditions_experienced_by_first_degree_blood_relatives_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=183	p29001_Mental_health_conditions_experienced_by_first_degree_blood_relatives	1	p29197_When_online_Mental_health_questionnaire_completed
29003	Recent feelings of depression	172910	172910	p29003_Recent_feelings_of_depression_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=184	p29003_Recent_feelings_of_depression	1	p29198_When_online_Depression_questionnaire_completed
29010	Recent thoughts of suicide or self-harm	172910	172910	p29010_Recent_thoughts_of_suicide_or_selfharm_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=185	p29010_Recent_thoughts_of_suicide_or_selfharm	1	p29198_When_online_Depression_questionnaire_completed
29011	Ever had prolonged feelings of sadness or depression	172909	172909	p29011_Ever_had_prolonged_feelings_of_sadness_or_depression_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=186	p29011_Ever_had_prolonged_feelings_of_sadness_or_depression	1	p29198_When_online_Depression_questionnaire_completed
29029	Thoughts of death during worst depression	79885	79885	p29029_Thoughts_of_death_during_worst_depression_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=187	p29029_Thoughts_of_death_during_worst_depression	1	p29198_When_online_Depression_questionnaire_completed
29037	Professional informed about depression	79885	79885	p29037_Professional_informed_about_depression_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=188	p29037_Professional_informed_about_depression	1	p29198_When_online_Depression_questionnaire_completed
29049	Ever had period of mania / excitability	171298	171298	p29049_Ever_had_period_of_mania_._excitability_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=189	p29049_Ever_had_period_of_mania_._excitability	1	p29199_When_online_Mood_changes_questionnaire_completed
29050	Ever had period extreme irritability	171298	171298	p29050_Ever_had_period_extreme_irritability_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=190	p29050_Ever_had_period_extreme_irritability	1	p29199_When_online_Mood_changes_questionnaire_completed
29055	Lifetime number of manic or irritable periods	8056	8056	p29055_Lifetime_number_of_manic_or_irritable_periods_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=191	p29055_Lifetime_number_of_manic_or_irritable_periods	1	p29199_When_online_Mood_changes_questionnaire_completed
29058	Recent feelings or nervousness or anxiety	170619	170619	p29058_Recent_feelings_or_nervousness_or_anxiety_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=192	p29058_Recent_feelings_or_nervousness_or_anxiety	1	p29200_When_online_Anxiety_and_panic_questionnaire_completed
29063	Recent easy annoyance or irritability	170619	170619	p29063_Recent_easy_annoyance_or_irritability_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=193	p29063_Recent_easy_annoyance_or_irritability	1	p29200_When_online_Anxiety_and_panic_questionnaire_completed
29091	Frequency of drinking alcohol	169927	169927	p29091_Frequency_of_drinking_alcohol_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=194	p29091_Frequency_of_drinking_alcohol	1	p29202_When_online_Alcohol_use_questionnaire_completed
29092	Amount of alcohol drunk on a typical drinking day	152146	152146	p29092_Amount_of_alcohol_drunk_on_a_typical_drinking_day_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=195	p29092_Amount_of_alcohol_drunk_on_a_typical_drinking_day	1	p29202_When_online_Alcohol_use_questionnaire_completed
29093	Frequency of consuming six or more units of alcohol	152146	152146	p29093_Frequency_of_consuming_six_or_more_units_of_alcohol_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=196	p29093_Frequency_of_consuming_six_or_more_units_of_alcohol	1	p29202_When_online_Alcohol_use_questionnaire_completed
29108	Ever thought that life not worth living	169755	169755	p29108_Ever_thought_that_life_not_worth_living_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=197	p29108_Ever_thought_that_life_not_worth_living	1	p29204_When_online_Harm_behaviours_questionnaire_completed
29109	Ever contemplated self-harm	169755	169755	p29109_Ever_contemplated_selfharm_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=198	p29109_Ever_contemplated_selfharm	1	p29204_When_online_Harm_behaviours_questionnaire_completed
29110	Contemplated self-harm in past year	21323	21323	p29110_Contemplated_selfharm_in_past_year_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=199	p29110_Contemplated_selfharm_in_past_year	1	p29204_When_online_Harm_behaviours_questionnaire_completed
29111	Ever self-harmed	169755	169755	p29111_Ever_selfharmed_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=200	p29111_Ever_selfharmed	1	p29204_When_online_Harm_behaviours_questionnaire_completed
29114	Self-harmed in past year	7799	7799	p29114_Selfharmed_in_past_year_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=201	p29114_Selfharmed_in_past_year	1	p29204_When_online_Harm_behaviours_questionnaire_completed
29116	Ever attempted suicide	7799	7799	p29116_Ever_attempted_suicide_dated	NA	NA	https://biobank.ctsu.ox.ac.uk/ukb/label.cgi?id=202	p29116_Ever_attempted_suicide	1	p29204_When_online_Harm_behaviours_questionnaire_completed
